post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2012-08-02 00:00:00","<d3.js>","7","4001","1","1","0","1"
"2012-10-05 00:00:00","<d3.js>","3","309","0","","1","1"
"2012-10-29 00:00:00","<d3.js>","5","4215","2","","0","1"
"2012-11-08 00:00:00","<d3.js>","13","9025","6","1","1","3"
"2012-11-21 00:00:00","<d3.js>","0","574","1","","0","1"
"2012-12-02 00:00:00","<d3.js>","4","5324","3","2","2","2"
"2012-12-15 00:00:00","<d3.js>","5","5297","1","1","0","1"
"2013-01-05 00:00:00","<d3.js>","9","7333","1","5","3","1"
"2013-01-08 00:00:00","<d3.js>","0","365","1","","0","1"
"2013-01-11 00:00:00","<d3.js>","0","538","1","","0","1"
"2013-01-13 00:00:00","<d3.js>","0","1002","1","","0","1"
"2013-01-24 00:00:00","<d3.js>","1","5457","1","","0","1"
"2013-02-03 00:00:00","<d3.js>","4","3986","3","2","1","4"
"2013-02-08 00:00:00","<d3.js>","2","2283","3","1","1","2"
"2013-02-09 00:00:00","<d3.js>","1","516","1","1","0","1"
"2013-02-22 00:00:00","<d3.js>","20","8667","5","4","3","4"
"2013-02-25 00:00:00","<d3.js>","1","4502","3","1","2","3"
"2013-03-07 00:00:00","<d3.js>","3","1757","3","1","2","2"
"2013-03-12 00:00:00","<d3.js>","1","4107","4","1","5","3"
"2013-04-05 00:00:00","<d3.js>","2","2328","1","","1","1"
"2013-04-10 00:00:00","<d3.js>","0","414","1","","0","1"
"2013-04-11 00:00:00","<d3.js>","1","716","0","","7","1"
"2013-04-24 00:00:00","<d3.js>","1","1810","2","1","2","2"
"2013-04-26 00:00:00","<d3.js>","19","20620","3","6","3","3"
"2013-05-20 00:00:00","<d3.js>","1","622","1","","0","1"
"2013-05-25 00:00:00","<d3.js>","1","3900","2","","4","2"
"2013-05-26 00:00:00","<d3.js>","1","246","1","","0","1"
"2013-06-08 00:00:00","<d3.js>","0","1129","2","0","1","2"
"2013-06-19 00:00:00","<d3.js>","12","10546","3","3","22","6"
"2013-07-07 00:00:00","<d3.js>","0","639","2","","0","1"
"2013-07-10 00:00:00","<d3.js>","7","15231","6","2","7","4"
"2013-07-12 00:00:00","<d3.js>","-1","1735","1","","0","1"
"2013-07-18 00:00:00","<d3.js>","22","36086","9","6","15","5"
"2013-07-23 00:00:00","<d3.js>","10","13518","9","2","7","5"
"2013-07-26 00:00:00","<d3.js>","2","2943","2","","6","3"
"2013-07-28 00:00:00","<d3.js>","1","79","1","","0","1"
"2013-07-31 00:00:00","<d3.js>","1","2119","2","","3","2"
"2013-08-05 00:00:00","<d3.js>","15","15773","4","2","0","2"
"2013-08-23 00:00:00","<d3.js>","0","174","0","","4","1"
"2013-09-03 00:00:00","<d3.js>","3","730","3","1","0","2"
"2013-09-11 00:00:00","<d3.js>","1","3196","2","","0","1"
"2013-09-16 00:00:00","<d3.js>","23","9829","4","6","1","3"
"2013-10-05 00:00:00","<d3.js>","0","3198","2","","5","2"
"2013-10-08 00:00:00","<d3.js>","26","14013","6","11","12","4"
"2013-10-10 00:00:00","<d3.js>","13","16353","7","5","5","5"
"2013-10-15 00:00:00","<d3.js>","12","4219","6","2","9","4"
"2013-10-31 00:00:00","<d3.js>","3","20620","3","1","8","2"
"2013-11-01 00:00:00","<d3.js>","1","1248","2","","1","2"
"2013-11-16 00:00:00","<d3.js>","12","10551","4","4","0","3"
"2013-11-17 00:00:00","<d3.js>","9","15845","2","2","0","1"
"2013-12-07 00:00:00","<d3.js>","9","2832","2","1","0","1"
"2013-12-10 00:00:00","<d3.js>","2","2848","3","","0","1"
"2013-12-13 00:00:00","<d3.js>","26","22573","4","2","0","1"
"2013-12-18 00:00:00","<d3.js>","0","1298","3","","2","3"
"2013-12-31 00:00:00","<d3.js>","0","4864","4","2","7","4"
"2014-01-03 00:00:00","<d3.js>","10","5613","5","3","8","3"
"2014-01-08 00:00:00","<d3.js>","0","2566","6","1","2","4"
"2014-01-11 00:00:00","<d3.js>","3","807","1","2","15","1"
"2014-01-16 00:00:00","<d3.js>","1","940","2","1","12","2"
"2014-01-21 00:00:00","<d3.js>","8","2701","3","1","3","2"
"2014-01-30 00:00:00","<d3.js>","1","1927","3","1","0","2"
"2014-02-28 00:00:00","<d3.js>","1","204","1","","0","1"
"2014-03-07 00:00:00","<d3.js>","0","228","0","","2","1"
"2014-03-21 00:00:00","<d3.js>","2","527","1","","3","2"
"2014-03-26 00:00:00","<d3.js>","1","177","1","","1","2"
"2014-04-03 00:00:00","<d3.js>","0","336","1","","3","2"
"2014-04-16 00:00:00","<d3.js>","4","2856","1","","0","2"
"2014-04-17 00:00:00","<d3.js>","2","2926","3","","3","3"
"2014-04-22 00:00:00","<d3.js>","0","171","1","","2","1"
"2014-05-02 00:00:00","<d3.js>","0","580","2","","6","2"
"2014-05-08 00:00:00","<d3.js>","0","186","1","","2","1"
"2014-05-10 00:00:00","<d3.js>","0","605","0","1","9","1"
"2014-05-26 00:00:00","<d3.js>","0","408","2","0","15","4"
"2014-06-01 00:00:00","<d3.js>","0","127","0","","28","2"
"2014-06-24 00:00:00","<d3.js>","1","1805","1","1","18","4"
"2014-07-02 00:00:00","<d3.js>","6","16103","4","6","11","4"
"2014-07-05 00:00:00","<d3.js>","0","142","1","","3","1"
"2014-07-07 00:00:00","<d3.js>","1","374","2","","0","1"
"2014-07-08 00:00:00","<d3.js>","0","56","1","","0","1"
"2014-07-10 00:00:00","<d3.js>","0","520","1","","0","1"
"2014-07-16 00:00:00","<d3.js>","0","2544","1","","0","1"
"2014-07-18 00:00:00","<d3.js>","0","1013","3","","2","3"
"2014-07-21 00:00:00","<d3.js>","3","1412","4","","5","2"
"2014-07-26 00:00:00","<d3.js>","4","10627","2","","3","2"
"2014-07-28 00:00:00","<d3.js>","0","719","1","","14","3"
"2014-08-13 00:00:00","<d3.js>","1","1209","1","1","2","2"
"2012-04-15 00:00:00","<d3.js>","4","12800","3","1","0","1"
"2012-05-01 00:00:00","<d3.js>","5","7953","1","2","1","1"
"2012-05-23 00:00:00","<d3.js>","1","2929","1","","0","1"
"2012-06-05 00:00:00","<d3.js>","7","3272","1","1","0","1"
"2012-07-06 00:00:00","<d3.js>","1","1127","2","","0","1"
"2012-10-04 00:00:00","<d3.js>","4","4337","2","","4","2"
"2012-11-02 00:00:00","<d3.js>","4","3103","2","1","0","2"
"2012-12-04 00:00:00","<d3.js>","21","11387","4","3","2","3"
"2012-12-07 00:00:00","<d3.js>","9","24956","6","2","0","2"
"2012-12-26 00:00:00","<d3.js>","13","16768","2","4","5","1"
"2013-01-02 00:00:00","<d3.js>","1","246","1","","0","1"
"2013-01-03 00:00:00","<d3.js>","4","1597","1","3","3","1"
"2013-02-01 00:00:00","<d3.js>","7","6334","4","4","9","5"
"2013-02-04 00:00:00","<d3.js>","1","93","0","","0","1"
"2013-02-06 00:00:00","<d3.js>","3","263","0","","2","1"
"2013-02-19 00:00:00","<d3.js>","11","7773","4","7","3","2"
"2013-02-24 00:00:00","<d3.js>","16","17046","1","6","0","1"
"2013-03-04 00:00:00","<d3.js>","4","5081","2","1","1","3"
"2013-03-18 00:00:00","<d3.js>","5","6613","2","2","2","2"
"2013-03-28 00:00:00","<d3.js>","1","1001","2","1","0","1"
"2013-03-31 00:00:00","<d3.js>","2","1710","1","","0","1"
"2013-04-03 00:00:00","<d3.js>","2","4649","2","2","3","3"
"2013-04-08 00:00:00","<d3.js>","1","2424","3","","0","1"
"2013-04-16 00:00:00","<d3.js>","0","699","3","","0","2"
"2013-04-29 00:00:00","<d3.js>","4","5554","4","2","13","4"
"2013-05-10 00:00:00","<d3.js>","0","1698","1","","0","1"
"2013-05-13 00:00:00","<d3.js>","0","928","3","","0","2"
"2013-06-11 00:00:00","<d3.js>","9","1264","1","2","4","1"
"2013-06-13 00:00:00","<d3.js>","3","9631","1","1","10","1"
"2013-06-18 00:00:00","<d3.js>","2","3027","1","2","1","1"
"2013-06-24 00:00:00","<d3.js>","2","3594","2","","6","3"
"2013-06-26 00:00:00","<d3.js>","0","731","3","","4","3"
"2013-06-27 00:00:00","<d3.js>","2","1064","2","","3","1"
"2013-06-29 00:00:00","<d3.js>","15","7817","1","6","0","1"
"2013-07-02 00:00:00","<d3.js>","0","152","1","","0","1"
"2013-07-20 00:00:00","<d3.js>","1","3760","1","1","5","1"
"2013-07-25 00:00:00","<d3.js>","0","3541","1","0","5","1"
"2013-08-03 00:00:00","<d3.js>","2","1154","1","0","0","1"
"2013-08-13 00:00:00","<d3.js>","28","36436","7","8","11","5"
"2013-08-16 00:00:00","<d3.js>","6","18631","3","1","4","2"
"2013-08-21 00:00:00","<d3.js>","3","1771","3","","0","2"
"2013-09-06 00:00:00","<d3.js>","3","2055","1","","0","1"
"2013-09-08 00:00:00","<d3.js>","0","37","1","","0","1"
"2013-09-17 00:00:00","<d3.js>","3","4274","2","1","3","1"
"2013-09-22 00:00:00","<d3.js>","1","700","1","","0","1"
"2013-09-24 00:00:00","<d3.js>","0","325","1","1","3","1"
"2013-09-27 00:00:00","<d3.js>","1","704","2","","6","3"
"2013-09-30 00:00:00","<d3.js>","4","6864","3","","1","2"
"2013-10-23 00:00:00","<d3.js>","0","255","0","","8","1"
"2013-11-06 00:00:00","<d3.js>","2","2489","2","","5","2"
"2013-11-08 00:00:00","<d3.js>","0","773","2","1","6","2"
"2013-11-11 00:00:00","<d3.js>","11","20427","6","8","0","3"
"2013-11-14 00:00:00","<d3.js>","3","994","1","","9","1"
"2013-11-22 00:00:00","<d3.js>","6","10259","2","2","18","4"
"2013-11-27 00:00:00","<d3.js>","3","1526","2","1","9","3"
"2013-11-29 00:00:00","<d3.js>","1","158","2","","1","2"
"2013-12-15 00:00:00","<d3.js>","23","21765","5","7","15","2"
"2013-12-21 00:00:00","<d3.js>","0","141","1","","2","1"
"2013-12-23 00:00:00","<d3.js>","0","112","1","","0","1"
"2013-12-29 00:00:00","<d3.js>","0","715","1","","3","1"
"2014-01-01 00:00:00","<d3.js>","1","376","2","","0","1"
"2014-01-06 00:00:00","<d3.js>","9","11591","6","6","12","5"
"2014-01-22 00:00:00","<d3.js>","1","4376","3","2","11","4"
"2014-02-01 00:00:00","<d3.js>","0","835","0","","3","1"
"2014-02-06 00:00:00","<d3.js>","1","970","2","","4","1"
"2014-02-12 00:00:00","<d3.js>","3","4589","2","1","6","3"
"2014-02-25 00:00:00","<d3.js>","2","223","2","1","1","2"
"2014-03-08 00:00:00","<d3.js>","1","974","2","1","2","1"
"2014-03-10 00:00:00","<d3.js>","4","707","2","1","6","2"
"2014-03-18 00:00:00","<d3.js>","1","671","1","","8","1"
"2014-03-23 00:00:00","<d3.js>","2","800","1","","8","1"
"2014-03-29 00:00:00","<d3.js>","3","805","1","1","0","1"
"2014-03-31 00:00:00","<d3.js>","0","630","1","","5","2"
"2014-04-11 00:00:00","<d3.js>","3","453","0","","2","1"
"2014-04-14 00:00:00","<d3.js>","0","1776","0","","9","2"
"2014-04-24 00:00:00","<d3.js>","0","446","1","","0","1"
"2014-05-05 00:00:00","<d3.js>","0","1254","4","","17","4"
"2014-05-07 00:00:00","<d3.js>","5","2627","2","2","4","3"
"2014-05-13 00:00:00","<d3.js>","6","2773","3","3","5","3"
"2014-05-16 00:00:00","<d3.js>","3","839","0","1","2","1"
"2014-05-24 00:00:00","<d3.js>","-1","374","3","","5","2"
"2014-06-11 00:00:00","<d3.js>","3","3063","1","","13","3"
"2014-06-19 00:00:00","<d3.js>","2","457","1","","1","2"
"2014-06-27 00:00:00","<d3.js>","2","5687","2","","3","2"
"2014-07-15 00:00:00","<d3.js>","2","1457","3","1","2","2"
"2014-07-23 00:00:00","<d3.js>","17","7376","2","6","0","2"
"2014-07-24 00:00:00","<d3.js>","9","3960","1","2","3","1"
"2014-07-31 00:00:00","<d3.js>","1","521","1","","11","2"
"2014-08-06 00:00:00","<d3.js>","0","228","0","","2","1"
"2014-08-21 00:00:00","<d3.js>","0","104","1","","3","2"
"2014-08-27 00:00:00","<d3.js>","1","355","2","","5","3"
"2014-09-01 00:00:00","<d3.js>","0","755","2","","3","2"
"2014-09-25 00:00:00","<d3.js>","0","176","0","1","12","2"
"2012-02-19 00:00:00","<d3.js>","1","410","0","","2","1"
"2012-04-12 00:00:00","<d3.js>","32","16364","2","10","0","2"
"2012-05-08 00:00:00","<d3.js>","5","1014","1","1","0","1"
"2012-06-03 00:00:00","<d3.js>","3","1136","2","","1","1"
"2012-06-04 00:00:00","<d3.js>","13","29651","1","","5","1"
"2012-06-11 00:00:00","<d3.js>","20","4332","1","4","0","1"
"2012-07-05 00:00:00","<d3.js>","14","9133","3","1","1","3"
"2012-09-25 00:00:00","<d3.js>","3","804","1","","0","1"
"2012-10-06 00:00:00","<d3.js>","61","59988","3","34","0","1"
"2012-10-17 00:00:00","<d3.js>","3","5871","2","","1","1"
"2012-10-22 00:00:00","<d3.js>","10","15648","1","2","0","1"
"2012-10-24 00:00:00","<d3.js>","4","2149","1","1","0","1"
"2012-11-15 00:00:00","<d3.js>","10","10119","4","2","0","2"
"2012-11-30 00:00:00","<d3.js>","8","8031","5","1","8","3"
"2012-12-06 00:00:00","<d3.js>","3","1110","2","1","0","1"
"2012-12-16 00:00:00","<d3.js>","0","1208","1","","0","1"
"2012-12-29 00:00:00","<d3.js>","14","13208","4","6","0","1"
"2012-12-30 00:00:00","<d3.js>","11","2888","3","4","1","1"
"2013-01-07 00:00:00","<d3.js>","0","268","1","","0","1"
"2013-01-23 00:00:00","<d3.js>","12","7834","3","6","5","3"
"2013-02-20 00:00:00","<d3.js>","16","20242","5","8","0","2"
"2013-03-16 00:00:00","<d3.js>","2","2042","1","","2","1"
"2013-03-22 00:00:00","<d3.js>","51","69404","13","13","1","5"
"2013-04-04 00:00:00","<d3.js>","9","8547","7","1","4","4"
"2013-04-15 00:00:00","<d3.js>","7","11190","4","2","7","4"
"2013-04-17 00:00:00","<d3.js>","1","1889","2","","0","2"
"2013-04-20 00:00:00","<d3.js>","0","2208","1","","0","1"
"2013-04-28 00:00:00","<d3.js>","1","1004","1","","1","1"
