post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2011-02-25 00:00:00","<perl>","3","1163","8","1","2","5"
"2014-04-06 00:00:00","<perl>","7","309","4","1","7","3"
"2010-08-23 00:00:00","<perl>","-2","233","1","","5","1"
"2011-12-19 00:00:00","<perl>","8","7049","12","1","7","4"
"2012-11-29 00:00:00","<perl>","0","375","8","","9","3"
"2013-04-29 00:00:00","<perl>","-1","340","6","1","6","4"
"2015-02-16 00:00:00","<fortran>","1","418","2","","0","1"
"2015-06-16 00:00:00","<rust>","21","3365","7","4","15","5"
"2017-04-15 00:00:00","<rust>","2","602","1","","0","1"
"2016-04-19 00:00:00","<fortran>","2","138","2","","1","1"
"2010-08-13 00:00:00","<perl>","0","698","1","","1","1"
"2013-05-21 00:00:00","<perl>","12","6736","9","2","17","4"
"2015-07-24 00:00:00","<perl>","4","723","7","","9","4"
"2017-03-01 00:00:00","<perl>","0","74","1","1","7","1"
"2015-01-05 00:00:00","<perl>","16","894","9","4","8","4"
"2015-08-12 00:00:00","<perl>","-3","611","5","0","15","4"
"2015-11-18 00:00:00","<perl>","3","1446","9","3","26","7"
"2012-05-19 00:00:00","<fortran>","2","1090","1","","3","1"
"2010-08-08 00:00:00","<perl>","25","11493","4","4","0","1"
"2014-04-22 00:00:00","<perl>","5","389","2","","3","1"
"2012-05-03 00:00:00","<perl>","17","9777","13","5","11","5"
"2017-10-05 00:00:00","<perl>","2","92","2","","0","3"
"2012-02-09 00:00:00","<fortran>","0","336","1","","0","1"
"2016-07-19 00:00:00","<perl>","-3","266","6","","6","4"
"2017-11-01 00:00:00","<rust>","5","212","4","","0","3"
"2014-03-05 00:00:00","<fortran>","2","16673","2","","1","2"
"2011-10-17 00:00:00","<perl>","0","5097","6","0","0","2"
"2015-04-06 00:00:00","<perl>","0","560","2","","0","1"
"2011-04-24 00:00:00","<perl>","1","990","3","","0","1"
"2015-06-05 00:00:00","<pascal>","1","166","1","","0","1"
"2012-08-03 00:00:00","<perl>","2","201","1","","5","1"
"2017-10-11 00:00:00","<perl>","3","189","5","2","12","3"
