post_date,TagName,num_per_day
"2009-08-27 00:00:00","ruby","46"
"2012-02-15 00:00:00","ruby","124"
"2015-11-02 00:00:00","r","138"
"2014-08-01 00:00:00","sql","344"
"2012-04-04 00:00:00","delphi","40"
"2012-04-21 00:00:00","javascript","463"
"2014-12-15 00:00:00","c","208"
"2012-01-21 00:00:00","c","134"
"2011-12-24 00:00:00","fortran","2"
"2013-10-09 00:00:00","jquery","968"
"2013-04-08 00:00:00","vba","35"
"2016-12-31 00:00:00","r","57"
"2016-05-11 00:00:00","swift","255"
"2016-03-29 00:00:00","jquery","604"
"2015-09-29 00:00:00","java","1101"
"2011-07-08 00:00:00","hadoop","2"
"2013-12-26 00:00:00","hadoop","12"
"2014-05-04 00:00:00","php","516"
"2015-07-25 00:00:00","ruby","77"
"2014-03-20 00:00:00","c++","547"
"2016-05-11 00:00:00","c#","882"
"2017-02-11 00:00:00","c++","171"
"2013-11-21 00:00:00","c#","997"
"2010-02-15 00:00:00","c","117"
"2016-06-26 00:00:00","perl","9"
"2016-02-07 00:00:00","ruby","69"
"2013-01-09 00:00:00","pascal","10"
"2014-08-15 00:00:00","rust","4"
"2011-08-15 00:00:00","python","229"
"2009-09-09 00:00:00","css","73"
"2013-10-07 00:00:00","delphi","26"
"2013-10-24 00:00:00","javascript","1412"
"2016-03-27 00:00:00","delphi","2"
"2014-09-28 00:00:00","c#","295"
"2014-07-26 00:00:00","html","381"
"2012-08-23 00:00:00","shell","41"
"2009-04-05 00:00:00","python","39"
"2014-05-10 00:00:00","sql","219"
"2013-06-27 00:00:00","fortran","2"
"2017-10-01 00:00:00","jquery","162"
"2014-05-09 00:00:00","java","1009"
"2017-01-09 00:00:00","perl","28"
"2015-08-11 00:00:00","r","172"
"2017-06-09 00:00:00","swift","189"
"2008-12-08 00:00:00","delphi","2"
"2014-07-09 00:00:00","css","474"
"2011-05-29 00:00:00","delphi","22"
"2015-09-29 00:00:00","javascript","1328"
"2015-05-23 00:00:00","jquery","349"
"2011-12-29 00:00:00","java","592"
"2010-10-12 00:00:00","r","14"
"2016-02-24 00:00:00","r","180"
"2013-09-05 00:00:00","r","93"
"2017-06-22 00:00:00","shell","71"
"2010-08-31 00:00:00","hadoop","1"
"2009-09-22 00:00:00","perl","28"
"2013-09-17 00:00:00","scala","57"
"2014-02-07 00:00:00","pascal","7"
"2009-07-08 00:00:00","vba","19"
"2012-06-01 00:00:00","vba","13"
"2016-04-20 00:00:00","delphi","23"
